[2019/10/04 07:20:54]-Info	db:rz_00084 ROW_EFFECT:0
[2019/10/04 07:20:55]-Info	db:rz_00085 ROW_EFFECT:0
[2019/10/04 07:20:56]-Info	db:rz_00086 ROW_EFFECT:0
[2019/10/04 07:20:57]-Info	db:rz_00087 ROW_EFFECT:0
[2019/10/04 07:20:58]-Info	db:rz_00088 ROW_EFFECT:0
[2019/10/04 07:20:59]-Info	db:rz_00089 ROW_EFFECT:0
[2019/10/04 07:21:00]-Info	db:rz_00090 ROW_EFFECT:0
[2019/10/04 07:21:01]-Info	db:rz_00091 ROW_EFFECT:0
[2019/10/04 07:21:02]-Info	db:rz_00092 ROW_EFFECT:0
[2019/10/04 07:21:02]-Info	db:rz_00093 ROW_EFFECT:0
[2019/10/04 07:21:03]-Info	db:rz_00094 ROW_EFFECT:0
[2019/10/04 07:21:04]-Info	db:rz_00095 ROW_EFFECT:0
[2019/10/04 07:21:05]-Info	db:rz_00096 ROW_EFFECT:0
[2019/10/04 07:21:05]-Info	db:rz_00097 ROW_EFFECT:0
[2019/10/04 07:21:06]-Info	db:rz_00098 ROW_EFFECT:0
[2019/10/04 07:21:07]-Info	db:rz_00099 ROW_EFFECT:0
[2019/10/04 07:21:08]-Info	db:rz_00100 ROW_EFFECT:0
[2019/10/04 07:21:09]-Info	db:rz_00101 ROW_EFFECT:0
[2019/10/04 07:21:10]-Info	db:rz_00102 ROW_EFFECT:0
[2019/10/04 07:21:11]-Info	db:rz_00103 ROW_EFFECT:0
[2019/10/04 07:21:12]-Info	db:rz_00104 ROW_EFFECT:0
[2019/10/04 07:21:13]-Info	db:rz_00105 ROW_EFFECT:0
[2019/10/04 07:21:14]-Info	db:rz_00106 ROW_EFFECT:0
[2019/10/04 07:21:15]-Info	db:rz_00107 ROW_EFFECT:0
[2019/10/04 07:21:15]-Info	db:rz_00108 ROW_EFFECT:0
[2019/10/04 07:21:16]-Info	db:rz_00109 ROW_EFFECT:0
[2019/10/04 07:21:17]-Info	db:rz_00110 ROW_EFFECT:0
[2019/10/04 07:21:18]-Info	db:rz_00111 ROW_EFFECT:0
[2019/10/04 07:21:18]-Info	db:rz_00112 ROW_EFFECT:0
[2019/10/04 07:21:19]-Info	db:rz_00113 ROW_EFFECT:0
[2019/10/04 07:21:20]-Info	db:rz_00114 ROW_EFFECT:0
[2019/10/04 07:21:21]-Info	db:rz_00115 ROW_EFFECT:0
[2019/10/04 07:21:21]-Info	db:rz_00116 ROW_EFFECT:0
[2019/10/04 07:21:22]-Info	db:rz_00117 ROW_EFFECT:0
[2019/10/04 07:21:23]-Info	db:rz_00118 ROW_EFFECT:0
[2019/10/04 07:21:23]-Info	db:rz_00119 ROW_EFFECT:0
[2019/10/04 07:21:24]-Info	db:rz_00120 ROW_EFFECT:0
[2019/10/04 07:21:25]-Info	db:rz_00121 ROW_EFFECT:0
[2019/10/04 07:21:25]-Info	db:rz_00122 ROW_EFFECT:0
[2019/10/04 07:21:26]-Info	db:rz_00123 ROW_EFFECT:0
[2019/10/04 07:21:27]-Info	db:rz_00124 ROW_EFFECT:0
[2019/10/04 07:21:27]-Info	db:rz_00125 ROW_EFFECT:0
[2019/10/04 07:21:28]-Info	db:rz_00126 ROW_EFFECT:0
[2019/10/04 07:21:29]-Info	db:rz_00127 ROW_EFFECT:0
[2019/10/04 07:21:30]-Info	db:rz_00128 ROW_EFFECT:0
[2019/10/04 07:21:30]-Info	db:rz_00129 ROW_EFFECT:0
[2019/10/04 07:21:31]-Info	db:rz_00130 ROW_EFFECT:0
[2019/10/04 07:21:32]-Info	db:rz_00131 ROW_EFFECT:0
[2019/10/04 07:21:32]-Info	db:rz_00132 ROW_EFFECT:0
[2019/10/04 07:21:33]-Info	db:rz_00133 ROW_EFFECT:0
[2019/10/04 07:21:34]-Info	db:rz_00134 ROW_EFFECT:0
[2019/10/04 07:21:35]-Info	db:rz_00135 ROW_EFFECT:0
[2019/10/04 07:21:35]-Info	db:rz_00136 ROW_EFFECT:0
[2019/10/04 07:21:36]-Info	db:rz_00137 ROW_EFFECT:0
[2019/10/04 07:21:37]-Info	db:rz_00138 ROW_EFFECT:0
[2019/10/04 07:21:37]-Info	db:rz_00139 ROW_EFFECT:0
[2019/10/04 07:21:38]-Info	db:rz_00140 ROW_EFFECT:0
[2019/10/04 07:21:39]-Info	db:rz_00141 ROW_EFFECT:0
[2019/10/04 07:21:40]-Info	db:rz_00142 ROW_EFFECT:0
[2019/10/04 07:21:41]-Info	db:rz_00143 ROW_EFFECT:0
[2019/10/04 07:21:42]-Info	db:rz_00144 ROW_EFFECT:0
[2019/10/04 07:21:43]-Info	db:rz_00145 ROW_EFFECT:0
[2019/10/04 07:21:44]-Info	db:rz_00146 ROW_EFFECT:0
[2019/10/04 07:21:45]-Info	db:rz_00147 ROW_EFFECT:0
[2019/10/04 07:21:46]-Info	db:rz_00148 ROW_EFFECT:0
[2019/10/04 07:21:47]-Info	db:rz_00149 ROW_EFFECT:0
[2019/10/04 07:21:48]-Info	db:rz_00150 ROW_EFFECT:0
[2019/10/04 07:21:48]-Info	db:rz_00151 ROW_EFFECT:0
[2019/10/04 07:21:49]-Info	db:rz_00152 ROW_EFFECT:0
[2019/10/04 07:21:50]-Info	db:rz_00153 ROW_EFFECT:0
[2019/10/04 07:21:51]-Info	db:rz_00154 ROW_EFFECT:0
[2019/10/04 07:21:52]-Info	db:rz_00155 ROW_EFFECT:0
[2019/10/04 07:21:53]-Info	db:rz_00156 ROW_EFFECT:0
[2019/10/04 07:21:54]-Info	db:rz_00157 ROW_EFFECT:0
[2019/10/04 07:21:54]-Info	db:rz_00158 ROW_EFFECT:0
[2019/10/04 07:21:55]-Info	db:rz_00159 ROW_EFFECT:0
[2019/10/04 07:21:56]-Info	db:rz_00160 ROW_EFFECT:0
[2019/10/04 07:21:56]-Info	db:rz_00161 ROW_EFFECT:0
[2019/10/04 07:21:57]-Info	db:rz_00162 ROW_EFFECT:0
[2019/10/04 07:21:58]-Info	db:rz_00163 ROW_EFFECT:0
[2019/10/04 07:21:58]-Info	db:rz_00164 ROW_EFFECT:0
[2019/10/04 07:21:59]-Info	db:rz_00165 ROW_EFFECT:0
[2019/10/04 07:22:00]-Info	db:rz_00166 ROW_EFFECT:0
[2019/10/04 07:22:00]-Info	db:rz_00167 ROW_EFFECT:0
[2019/10/04 07:22:01]-Info	db:rz_00168 ROW_EFFECT:0
[2019/10/04 07:22:02]-Info	db:rz_00169 ROW_EFFECT:0
[2019/10/04 07:22:02]-Info	db:rz_00170 ROW_EFFECT:0
[2019/10/04 07:22:03]-Info	db:rz_00171 ROW_EFFECT:0
[2019/10/04 07:22:04]-Info	db:rz_00172 ROW_EFFECT:0
[2019/10/04 07:22:04]-Info	db:rz_00173 ROW_EFFECT:0
[2019/10/04 07:22:05]-Info	db:rz_00174 ROW_EFFECT:0
[2019/10/04 07:22:06]-Info	db:rz_00175 ROW_EFFECT:0
[2019/10/04 07:22:06]-Info	db:rz_00176 ROW_EFFECT:0
[2019/10/04 07:22:07]-Info	db:rz_00177 ROW_EFFECT:0
[2019/10/04 07:22:08]-Info	db:rz_00178 ROW_EFFECT:0
[2019/10/04 07:22:09]-Info	db:rz_00179 ROW_EFFECT:0
[2019/10/04 07:22:09]-Info	db:rz_00180 ROW_EFFECT:0
[2019/10/04 07:22:10]-Info	db:rz_00181 ROW_EFFECT:0
[2019/10/04 07:22:11]-Info	db:rz_00182 ROW_EFFECT:0
[2019/10/04 07:22:11]-Info	db:rz_00183 ROW_EFFECT:0
[2019/10/04 07:22:12]-Info	db:rz_00184 ROW_EFFECT:0
[2019/10/04 07:22:13]-Info	db:rz_00185 ROW_EFFECT:0
[2019/10/04 07:22:14]-Info	db:rz_00186 ROW_EFFECT:0
[2019/10/04 07:22:14]-Info	db:rz_00187 ROW_EFFECT:0
[2019/10/04 07:22:15]-Info	db:rz_00188 ROW_EFFECT:0
[2019/10/04 07:22:16]-Info	db:rz_00189 ROW_EFFECT:0
[2019/10/04 07:22:17]-Info	db:rz_00190 ROW_EFFECT:0
[2019/10/04 07:22:17]-Info	db:rz_00191 ROW_EFFECT:0
[2019/10/04 07:22:18]-Info	db:rz_00192 ROW_EFFECT:0
[2019/10/04 07:22:19]-Info	db:rz_00193 ROW_EFFECT:0
[2019/10/04 07:22:20]-Info	db:rz_00194 ROW_EFFECT:0
[2019/10/04 07:22:20]-Info	db:rz_00195 ROW_EFFECT:0
[2019/10/04 07:22:21]-Info	db:rz_00196 ROW_EFFECT:0
[2019/10/04 07:22:22]-Info	db:rz_00197 ROW_EFFECT:0
[2019/10/04 07:22:23]-Info	db:rz_00198 ROW_EFFECT:0
[2019/10/04 07:22:23]-Info	db:rz_00199 ROW_EFFECT:0
[2019/10/04 07:22:24]-Info	db:rz_00200 ROW_EFFECT:0
[2019/10/04 07:22:25]-Info	db:rz_00201 ROW_EFFECT:0
[2019/10/04 07:22:26]-Info	db:rz_00202 ROW_EFFECT:0
[2019/10/04 07:22:26]-Info	db:rz_00203 ROW_EFFECT:0
[2019/10/04 07:22:27]-Info	db:rz_00204 ROW_EFFECT:0
[2019/10/04 07:22:28]-Info	db:rz_00205 ROW_EFFECT:0
[2019/10/04 07:22:28]-Info	db:rz_00206 ROW_EFFECT:0
[2019/10/04 07:22:29]-Info	db:rz_00207 ROW_EFFECT:0
[2019/10/04 07:22:30]-Info	db:rz_00208 ROW_EFFECT:0
[2019/10/04 07:22:31]-Info	db:rz_00209 ROW_EFFECT:0
[2019/10/04 07:22:31]-Info	db:rz_00210 ROW_EFFECT:0
[2019/10/04 07:22:32]-Info	db:rz_00211 ROW_EFFECT:0
[2019/10/04 07:22:33]-Info	db:rz_00212 ROW_EFFECT:0
